"Product","Orientation","Size","Paper","Print Colour","Quantity","Compulsory","Hole Punch","VDP","WMPrice","EMPrice"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","115.00","125.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Not Required","Not Required","90.00","100.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Not Required","Variable Data Printing (Front)","126.00","136.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Not Required","Variable Data Printing (Back)","126.00","136.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Not Required","Variable Data Printing (Both)","132.00","142.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Hole Punching (6mm)","Not Required","96.00","106.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","132.00","142.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","132.00","142.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","60","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","138.00","148.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Not Required","Not Required","105.00","115.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Not Required","Variable Data Printing (Front)","143.00","153.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Not Required","Variable Data Printing (Back)","143.00","153.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Not Required","Variable Data Printing (Both)","151.00","161.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Hole Punching (6mm)","Not Required","113.00","123.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","151.00","161.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","151.00","161.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","80","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","159.00","169.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Not Required","Not Required","119.00","129.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Not Required","Variable Data Printing (Front)","159.00","169.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Not Required","Variable Data Printing (Back)","159.00","169.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Not Required","Variable Data Printing (Both)","169.00","179.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Hole Punching (6mm)","Not Required","129.00","139.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","169.00","179.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","169.00","179.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","100","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","179.00","189.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Not Required","Not Required","196.00","216.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Not Required","Variable Data Printing (Front)","246.00","266.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Not Required","Variable Data Printing (Back)","246.00","266.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Not Required","Variable Data Printing (Both)","266.00","286.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Hole Punching (6mm)","Not Required","216.00","236.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","266.00","286.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","266.00","286.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","200","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","286.00","306.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Not Required","Not Required","273.00","293.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Not Required","Variable Data Printing (Front)","333.00","353.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Not Required","Variable Data Printing (Back)","333.00","353.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Not Required","Variable Data Printing (Both)","363.00","383.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Hole Punching (6mm)","Not Required","303.00","323.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","363.00","383.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","363.00","383.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","300","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","393.00","413.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Not Required","Not Required","350.00","380.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Not Required","Variable Data Printing (Front)","420.00","450.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Not Required","Variable Data Printing (Back)","420.00","450.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Not Required","Variable Data Printing (Both)","460.00","490.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Hole Punching (6mm)","Not Required","390.00","420.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","460.00","490.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","460.00","490.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","400","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","500.00","530.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Not Required","Not Required","416.00","446.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Not Required","Variable Data Printing (Front)","496.00","526.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Not Required","Variable Data Printing (Back)","496.00","526.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Not Required","Variable Data Printing (Both)","546.00","576.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Hole Punching (6mm)","Not Required","466.00","496.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","546.00","576.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","546.00","576.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","596.00","626.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Not Required","Not Required","494.00","534.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Not Required","Variable Data Printing (Front)","584.00","624.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Not Required","Variable Data Printing (Back)","584.00","624.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Not Required","Variable Data Printing (Both)","644.00","684.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Hole Punching (6mm)","Not Required","554.00","594.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","644.00","684.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","644.00","684.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","600","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","704.00","744.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","700","Round Cornering","Not Required","Not Required","572.00","622.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","700","Round Cornering","Not Required","Variable Data Printing (Front)","672.00","722.00"
