"Size","Paper","Print Colour","Quantity","Packing","WM Price","EM Price"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","800","Loose","341.20","411.20"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","900","Loose","347.25","417.25"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1000","Loose","350.90","430.90"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1100","Loose","355.75","445.75"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1200","Loose","359.35","459.35"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1300","Loose","365.40","465.40"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1400","Loose","369.05","479.05"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1500","Loose","372.70","492.70"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","500","Pad (100 pcs per pad)","331.55","371.55"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","600","Pad (100 pcs per pad)","338.80","388.80"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","700","Pad (100 pcs per pad)","344.85","404.85"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","800","Pad (100 pcs per pad)","347.25","417.25"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","900","Pad (100 pcs per pad)","352.10","422.10"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1000","Pad (100 pcs per pad)","356.95","436.95"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1100","Pad (100 pcs per pad)","361.80","451.80"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1200","Pad (100 pcs per pad)","366.65","466.65"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1300","Pad (100 pcs per pad)","371.45","471.45"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1400","Pad (100 pcs per pad)","376.30","486.30"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","1500","Pad (100 pcs per pad)","379.95","499.95"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","10","Loose","33.00","43.00"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","20","Loose","39.60","49.60"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","30","Loose","48.40","58.40"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","40","Loose","57.20","67.20"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","50","Loose","64.90","74.90"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","60","Loose","73.70","83.70"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","70","Loose","82.50","92.50"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","80","Loose","90.20","100.20"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","90","Loose","97.90","107.90"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","100","Loose","107.80","117.80"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","150","Loose","149.60","169.60"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","200","Loose","191.40","211.40"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","250","Loose","234.30","254.30"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","300","Loose","276.10","306.10"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","350","Loose","317.90","347.90"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","400","Loose","359.70","399.70"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","450","Loose","403.70","443.70"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Both)","500","Loose","444.40","484.40"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","500","Loose","289.20","329.20"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","600","Loose","315.80","365.80"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","700","Loose","341.20","401.20"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","800","Loose","367.85","437.85"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","900","Loose","394.45","464.45"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1000","Loose","418.65","498.65"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1100","Loose","445.30","535.30"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1200","Loose","470.70","570.70"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1300","Loose","497.30","597.30"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1400","Loose","522.70","632.70"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1500","Loose","548.15","668.15"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","500","Pad (100 pcs per pad)","294.05","334.05"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","600","Pad (100 pcs per pad)","320.65","370.65"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","700","Pad (100 pcs per pad)","347.25","407.25"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","800","Pad (100 pcs per pad)","372.70","442.70"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","900","Pad (100 pcs per pad)","399.30","469.30"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1000","Pad (100 pcs per pad)","424.70","504.70"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1100","Pad (100 pcs per pad)","451.35","541.35"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1200","Pad (100 pcs per pad)","477.95","577.95"
"A4 (210mm x 297mm)","Conqueror 100gsm Brilliant White Laid","1C (Front)","1300","Pad (100 pcs per pad)","503.35","603.35"
