"Model Category","Model","Size","Paper","Print Colour","Quantity","Lamination","Colour Protective Layer","WM Price","EM Price"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Gloss Lamination (Both)","N/A","713.45","883.45"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Matte Lamination (Front)","N/A","600.75","760.75"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Matte Lamination (Front) + Spot UV (Front)","N/A","907.95","1067.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Matte Lamination (Both)","N/A","713.45","883.45"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Matte Lamination (Both) + Spot UV (Front)","N/A","1020.65","1190.65"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Gloss Waterbase Varnish (Front)","N/A","550.40","710.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Gloss Waterbase Varnish (Both)","N/A","612.80","772.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Gloss Lamination (Front)","N/A","611.85","801.85"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Gloss Lamination (Both)","N/A","721.20","921.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Matte Lamination (Front)","N/A","611.85","801.85"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Matte Lamination (Front) + Spot UV (Front)","N/A","903.55","1093.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Matte Lamination (Both)","N/A","721.20","921.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Matte Lamination (Both) + Spot UV (Front)","N/A","1012.90","1212.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Gloss Waterbase Varnish (Front)","N/A","560.10","740.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","350","Gloss Waterbase Varnish (Both)","N/A","617.65","797.65"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Gloss Lamination (Front)","N/A","671.75","891.75"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Gloss Lamination (Both)","N/A","787.70","1017.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Matte Lamination (Front)","N/A","671.75","891.75"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Matte Lamination (Front) + Spot UV (Front)","N/A","975.05","1195.05"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Matte Lamination (Both)","N/A","787.70","1017.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Matte Lamination (Both) + Spot UV (Front)","N/A","1091.00","1321.00"
